Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Sectors for Entities as a filter
JSC Technopromexport,❌,❌,❌,❌,✅,❌,O
JSC Tecmash,❌,❌,❌,❌,✅,❌,O
JSC The Berkatit-Tommot-Yakutsk Railway Line’s Construction Directorate,✅,✅,✅,✅,✅,✅,O
JSC Tula Arms Plant,❌,❌,❌,✅,✅,❌,O
JSC United Aircraft Corporation,❌,❌,✅,✅,✅,❌,O
JSC VEB.DV (FAR EAST AND ARCTIC REGION DEVELOPMENT FUND),✅,❌,❌,❌,❌,❌,O
"JSC VEB.RF (a.ka. Vnesheconombank, Bank for Development and Foreign Economic Affairs, Russian State Development Corporation)",✅,✅,✅,✅,✅,✅,O
JSC Zaliv Shipyard,❌,✅,❌,✅,✅,❌,O
JSCB Mosoblbank OJSC,❌,❌,❌,❌,✅,❌,O
JSP SPA Izhmash,❌,❌,❌,❌,✅,❌,O
KALININ MACHINE PLANT JSC,✅,❌,❌,❌,❌,❌,O
KALININGRADNEFTEPRODUKT OOO,✅,❌,❌,❌,❌,❌,O
Kalmius Battalion,❌,✅,✅,✅,✅,✅,O
"KAMCHATGAZPROM, OAO",✅,❌,❌,❌,❌,❌,O
"KARST, OOO",✅,❌,❌,❌,❌,❌,O
KBP Instrument Design Bureau,❌,❌,❌,❌,✅,❌,O
Kerch Commercial Sea Port – State Enterprise,❌,❌,✅,❌,✅,✅,O
Kerch Ferry – State Ferry Enterprise,❌,❌,❌,❌,✅,✅,O
Kholtsvud OOO,✅,❌,❌,❌,❌,❌,O
"KHOMYAKOVSKI KHLADOKOMBINAT, ZAO",✅,❌,❌,❌,❌,❌,O
KINEF OOO,✅,❌,❌,❌,❌,❌,O
KIRISHIAVTOSERVIS OOO,✅,❌,❌,❌,❌,❌,O
"Kompaniya Gaz-Alyans, OOO",✅,❌,❌,❌,❌,❌,O
"Konstanta, OOO",✅,❌,❌,❌,❌,❌,O
KONSTRUKTORSKOE BYURO PRIBOROSTROENIYA OTKRYTOE AO,✅,❌,❌,❌,❌,❌,O
KONTSERN AVIAPRIBOROSTROENIE OAO,✅,❌,❌,❌,❌,❌,O
KONTSERN ORION OAO,✅,❌,❌,❌,❌,❌,O
KONTSERN SIRIUS OAO,✅,❌,❌,❌,❌,❌,O
KORUS CONSULTING CIS LLC,✅,❌,❌,❌,❌,❌,O
Kourf OOO,✅,❌,❌,❌,❌,❌,O
"KPSK, OOO",✅,❌,❌,❌,❌,❌,O
KRASLESINVEST CJSC,✅,❌,❌,❌,❌,❌,O
"KRASNOYARSKGAZPROM, PAO",✅,❌,❌,❌,❌,❌,O
KRIOGENMASH OAO,✅,❌,❌,❌,❌,❌,O
"KRYLOVSKI ELEVATOR, OAO",✅,❌,❌,❌,❌,❌,O
"KRYMTETS, AO",✅,❌,❌,❌,❌,❌,O
Kvant Scientific Research Institute,✅,❌,❌,❌,❌,❌,O
KVT-RUS,✅,❌,❌,❌,❌,❌,O
"Ladoga Menedzhment, OOO",✅,❌,❌,❌,❌,❌,O
"LADOZHSKI ELEVATOR, OAO",✅,❌,❌,❌,❌,❌,O
"LAZURNAYA, OOO",✅,❌,❌,❌,❌,❌,O
LENGIPRONEFTEKHIM OOO,✅,❌,❌,❌,❌,❌,O
Lenpromtransproyekt,✅,❌,✅,❌,❌,❌,O
Lerma Trading S.A.,✅,❌,❌,❌,❌,❌,O
"LESPROMPROTSESSING, ZAO",✅,❌,❌,❌,❌,❌,O
LLC Concord Management and Consulting,✅,❌,❌,❌,❌,❌,O
LLC Foreign Economic Association Technopromexport,✅,❌,❌,❌,✅,❌,O
LLC GARANT-SV,✅,❌,❌,❌,❌,❌,O
LLC INFRASTRUCTURE PROJECTS MANAGEMENT COMPANY,✅,❌,❌,❌,❌,❌,O
LLC MORTRANSSERVICE,✅,❌,❌,❌,❌,❌,O
LLC SOUTHERN PROJECT,✅,❌,❌,❌,❌,❌,O
Linburg Industries LTD.,✅,❌,❌,❌,❌,❌,O
LLC BAIKAL CENTER,✅,❌,❌,❌,❌,❌,O
LLC BALTECH,✅,❌,❌,❌,❌,❌,O
LLC INFRASTRUCTURE MOLZHANINOVO,✅,❌,❌,❌,❌,❌,O
LLC Koksokhimtrans,✅,❌,❌,❌,❌,❌,O
LLC NM-TEKH,✅,❌,❌,❌,❌,❌,O
LLC NOVYE PROEKTY,✅,❌,❌,❌,❌,❌,O
LLC PROGOROD,✅,❌,❌,❌,❌,❌,O
LLC RESORT ZOLOTOE KOLTSO,✅,❌,❌,❌,❌,❌,O
LLC RusChemTrade,✅,❌,❌,❌,❌,❌,O
LLC SIBUGLEMET GROUP,✅,❌,❌,❌,❌,❌,O
LLC SK Consol-Stroi LTD,✅,❌,❌,❌,❌,❌,O
LLC SOVREMENNYE TECHNOLOGII,✅,❌,❌,❌,❌,❌,O
LLC SPECIAL ORGANIZATION FOR PROJECT FINANCE FACTORY OF PROJECT FINANCE,✅,❌,❌,❌,❌,❌,O
LLC TORGOVY KVARTAL-NOVOSIBIRSK,✅,❌,❌,❌,❌,❌,O
LLC VEB Service,✅,❌,❌,❌,❌,❌,O
LLC VEB VENTURES,✅,❌,❌,❌,❌,❌,O
LLC VEB.RF ASSET MANAGEMENT,✅,❌,❌,❌,❌,❌,O
LOBAYE INVEST,✅,❌,❌,❌,❌,❌,O
LTS Holding Limited,✅,❌,❌,❌,❌,❌,O
Luhansk Economic Union,❌,✅,✅,✅,✅,✅,O
Luhansk Guard,❌,✅,❌,✅,✅,✅,O
Luhansk People's Republic,✅,❌,❌,❌,✅,❌,O
LUKOIL OAO,✅,❌,❌,❌,❌,❌,O
Magarach,✅,✅,✅,✅,✅,✅,O
M Finans,✅,❌,❌,❌,❌,❌,O
"M Invest, OOO",✅,❌,❌,❌,❌,❌,O
MAIN INTELLIGENCE DIRECTORATE,✅,❌,❌,❌,❌,❌,O
"MALOROSSISKI ELEVATOR, OAO",✅,❌,❌,❌,❌,❌,O
Management Company Promsvyaz LLC,✅,❌,❌,❌,❌,❌,O
Maples SA,✅,❌,❌,❌,❌,❌,O
Marine Scientific Research Institute of Radioelectronics “Altair” (MNIIRE “Altair”),❌,❌,❌,❌,✅,❌,O
MARITIME ASSISTANCE LLC,✅,❌,❌,❌,❌,❌,O
Marlin,✅,❌,❌,❌,❌,❌,O
Marshal Zhukov,✅,❌,❌,❌,❌,❌,O
Marshall Capital Fund,❌,❌,❌,❌,✅,❌,O
Marshall Capital Partners,✅,❌,❌,❌,❌,❌,O
MCST Lebedev,❌,❌,❌,✅,❌,❌,O
MEDIA-INVEST OOO,✅,❌,❌,❌,❌,❌,O
Meroe Gold Co. LTD.,✅,❌,❌,❌,❌,❌,O
"MEZHDUNARODNAYA UPRAVLYAYUSHCHAYA KOMPANIYA, AO",✅,❌,❌,❌,❌,❌,O
M-IABU,✅,❌,❌,❌,❌,❌,O
Miass Machine-Building Factory,❌,❌,❌,✅,❌,❌,O
Microelectronic Research and Development Center Novosibirsk,❌,❌,❌,✅,❌,❌,O
Ministry of Defence RF,❌,❌,❌,✅,✅,❌,O
Ministry of Finance of the Russian Federation,✅,❌,❌,✅,✅,❌,O
Ministry of State Security,✅,❌,❌,❌,❌,❌,O
Minsk Wheel Tractor Plant,❌,✅,❌,❌,❌,✅,O
MOBILNYE PLATEZHI LIMITED LIABILITY COMPANY,✅,❌,❌,❌,❌,❌,O
"Molecular Electronics Research Institute, Joint Stock Company",✅,❌,❌,❌,❌,❌,O
Mir Luganshchine,❌,❌,❌,❌,❌,✅,O
Mitischinskii Machine-Building Plant OAO (MMZ),❌,❌,❌,❌,✅,❌,O
"MOLOT-ORUZHIE, OOO",✅,❌,❌,❌,❌,❌,O
Moscow Institute of Physics and Technology,❌,❌,❌,✅,❌,❌,O
"Movement ""Novorossiya"" of Igor Strelkov",❌,✅,✅,✅,❌,❌,O
MPI VOLNA,❌,❌,❌,✅,❌,❌,O
MRIYA RESORT & SPA,✅,❌,❌,❌,❌,❌,O
M-SAAN,✅,❌,❌,❌,❌,❌,O
MULTICARTA,✅,❌,❌,❌,❌,❌,O
MURMAN,✅,❌,❌,❌,❌,❌,O
"MYTISHCHINSKI MASHINOSTROITELNY ZAVOD, OAO",✅,❌,❌,❌,❌,❌,O
MZ MAYAK OAO,✅,❌,❌,❌,❌,❌,O
N. A. Dollezhal Order of Lenin Research and Design Institute of Power Engineering,❌,❌,❌,✅,❌,❌,O
NabuLeaks,✅,❌,❌,❌,❌,❌,O
NAGELFAR TRADE AND INVEST LIMITED,✅,❌,❌,❌,❌,❌,O
Narodniy Soyuz (People's Union),❌,❌,❌,❌,❌,✅,O
NARVAL,✅,❌,❌,❌,❌,❌,O
National Association of producers “Massandra”,❌,❌,❌,❌,✅,✅,O
National Wealth Fund of the Russian Federation,✅,❌,❌,❌,✅,✅,O
NEFT-AKTIV LLC,✅,❌,❌,❌,❌,❌,O
Nerpa Shipyard,❌,❌,❌,✅,❌,❌,O
NEW EASTERN OUTLOOK,✅,✅,❌,❌,❌,❌,O
NEW FINANCIAL TECHNOLOGIES OOO,✅,❌,❌,❌,❌,❌,O
NEWSFRONT,✅,❌,❌,❌,❌,❌,O
Night Wolves Motorcycle Club,✅,❌,❌,❌,✅,❌,O
"NIIGAZEKONOMIKA, OOO",✅,❌,❌,❌,❌,❌,O
NIZHNIY NOVGOROD SOKOL AIRCRAFT MANUFACTURING PLANT,✅,❌,❌,❌,❌,❌,O
Nord Stream 2 AG,✅,❌,❌,❌,❌,❌,O
"NOVATEK-CHELYABINSK, OOO",✅,❌,❌,❌,❌,❌,O
"NOVATEK-KOSTROMA, OOO",✅,❌,❌,❌,❌,❌,O
"NOVATEK-PERM, OOO",✅,❌,❌,❌,❌,❌,O
"NOVATEK-PUROVSKI ZPK, OOO",✅,❌,❌,❌,❌,❌,O
"NOVATEK SEVERO-ZAPAD, OOO",✅,❌,❌,❌,❌,❌,O
"NOVATEK-TARKOSALENEFTEGAZ, OOO",✅,❌,❌,❌,❌,❌,O
"NOVATEK-TRANSERVIS, OOO",✅,❌,❌,❌,❌,❌,O
"NOVATEK-UST-LUGA, OOO",✅,❌,❌,❌,❌,❌,O
"NOVATEK-YARSALENEFTEGAZ, OOO",✅,❌,❌,❌,❌,❌,O
NOVGORODNEFTEPRODUKT OOO,✅,❌,❌,❌,❌,❌,O
Novorossiya Party,✅,❌,❌,❌,❌,❌,O
Novorossiysk Commercial Sea Port,❌,❌,❌,✅,❌,❌,O
Novorossiysk Shipyard JSC,❌,❌,❌,✅,❌,❌,O
NPF Otkritie Group,✅,❌,❌,❌,❌,❌,O
NPK Technologii Maschinostrojenija,❌,❌,❌,✅,❌,❌,O
NPK Tekhmash OAO,✅,❌,❌,❌,❌,❌,O
"NPF TRANSNEFT, AO",✅,❌,❌,❌,❌,❌,O
NPF VTB PENSION FUND JOINT STOCK COMPANY,✅,❌,❌,❌,❌,❌,O
NPO Electronic Systems,❌,❌,❌,✅,❌,❌,O
NPO High Precision Systems JSC,❌,❌,❌,✅,✅,❌,O
NPO Splav JSC,❌,❌,❌,✅,✅,❌,O
NPP Istok,❌,❌,❌,✅,❌,❌,O
NTC Metrotek,❌,❌,❌,✅,❌,❌,O
NPV Engineering Open Joint Stock Company,✅,❌,❌,❌,❌,❌,O
OAO 'DOLGOPRUDNY RESEARCH PRODUCTION ENTERPRISE',✅,❌,❌,❌,❌,❌,O
OAO GosNIIkhimanalit,❌,❌,❌,✅,❌,❌,O
"OAO ""VO Technopromexport""",❌,✅,❌,✅,❌,❌,O
OAO JSC Chemcomposite,❌,❌,❌,✅,✅,❌,O
OAO Novatek,✅,❌,❌,❌,✅,❌,O
OAO NPO Bazalt,❌,❌,❌,✅,❌,❌,O
OAO SHIP REPAIR CENTER 'ZVEZDOCHKA',✅,❌,❌,❌,❌,❌,O
OAO Svetlovskoye Predpriyatiye Era,❌,❌,❌,✅,❌,❌,O
OAO 'URANIS-RADIOSISTEMY',✅,❌,❌,❌,❌,❌,O
OAO Volgogradneftemash,✅,❌,❌,❌,✅,❌,O
OAO Wysokototschnye Kompleksi,❌,❌,❌,✅,✅,❌,O
OBEDINENNAYA DVIGATELESTROITELNAYA KORPORATSIYA OAO,✅,❌,❌,❌,❌,❌,O
OBIEDINENNAYA PROMYSHLENNAYA KORPORATSIYA OBORONPROM OAO,✅,❌,❌,❌,❌,❌,O
Oboronlogistika OOO,✅,❌,❌,❌,✅,❌,O
Oboronnye Initsiativy,❌,✅,❌,❌,❌,✅,O
OBSCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU PROMINVEST,✅,❌,❌,❌,❌,❌,O
Obshchestvo S Ogranichennoi Otvetstvennostyu NEOBIT,✅,❌,❌,❌,❌,❌,O
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU RT-ENERGOEFFEKTIVNOST,✅,❌,❌,❌,❌,❌,O
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU RT-INFORM,✅,❌,❌,❌,❌,❌,O
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VTB FOREKS,✅,❌,❌,❌,❌,❌,O
OBSHCHESTVO S OGRANICHENNOI OTVETSVENNOSTYU VR-RESURS,✅,❌,❌,❌,❌,❌,O
ODK-SATURN PUBLIC JOINT-STOCK COMPANY,✅,❌,❌,❌,❌,❌,O
Odna Rodyna,✅,❌,❌,❌,❌,❌,O
OJSC ACHINSK REFINERY,✅,❌,❌,❌,❌,❌,O
OJSC ANGARSK PETROCHEMICAL COMPANY,✅,❌,❌,❌,❌,❌,O
OJSC Dolgoprudny Research Production Enterprise (DNPP),❌,❌,❌,❌,✅,❌,O
OJSC Foreign Economic Association Technopromexport,❌,❌,✅,❌,❌,❌,O
OJSC KUYBYSHEV REFINERY,✅,❌,❌,❌,❌,❌,O
OJSC NOVOKUYBYSHEV REFINERY,✅,❌,❌,❌,❌,❌,O
OJSC ORENBURGNEFT,✅,❌,❌,❌,❌,❌,O
OJSC RN HOLDING,✅,❌,❌,❌,❌,❌,O
OJSC RUSSIAN REGIONAL DEVELOPMENT BANK,✅,❌,❌,❌,❌,❌,O
OJSC SAMOTLORNEFTEGAZ,✅,❌,❌,❌,❌,❌,O
OJSC Sovfracht,✅,❌,❌,❌,❌,❌,O
OJSC Stankoinstrument,❌,❌,❌,✅,✅,❌,O
OJSC Surgutneftegas,❌,❌,❌,❌,✅,❌,O
OJSC SYZRAN REFINERY,✅,❌,❌,❌,❌,❌,O
OJSC TSRY,❌,❌,❌,✅,❌,❌,O
OKB TSP Scientific Production Limited Liability Company,❌,✅,❌,❌,❌,✅,O
OMZ OAO,✅,❌,❌,❌,❌,❌,O
OMZ SPETSSTAL OOO,✅,❌,❌,❌,❌,❌,O
"OOO ""VO Technopromexport""",❌,✅,❌,✅,❌,❌,O
OOO ALKON,✅,❌,❌,❌,❌,❌,O
OOO 'DSK',✅,❌,❌,❌,❌,❌,O
OOO Elkomtekh,❌,❌,❌,✅,❌,❌,O
OOO Foton Pro,✅,❌,❌,❌,❌,❌,O
OOO Nauchno-Tekhnicheskii Tsentr Metrotek,✅,❌,❌,❌,❌,❌,O
OOO Navigator Asset Management,✅,❌,❌,❌,❌,❌,O
OOO Otkritie Asset Management,✅,❌,❌,❌,❌,❌,O
OOO Otkritie Capital,✅,❌,❌,❌,❌,❌,O
OOO Otkritie Factoring,✅,❌,❌,❌,❌,❌,O
OOO Pamkin Khaus,✅,❌,❌,❌,❌,❌,O
OOO Planar,❌,❌,❌,✅,❌,❌,O
OOO PS YANDEX.MONEY,✅,❌,❌,❌,❌,❌,O
OOO RGS Holding,✅,❌,❌,❌,❌,❌,O
OOO Robin Treid,✅,❌,❌,❌,❌,❌,O
OOO Serniya Inzhiniring,✅,❌,❌,❌,❌,❌,O
OOO Sertal,✅,❌,❌,✅,❌,❌,O
OOO SHIPYARD 'ZALIV',✅,❌,❌,❌,❌,❌,O
OOO 'STG-EKO',✅,❌,❌,❌,❌,❌,O
OOO Stroygazmontazh-Bridge,❌,❌,✅,❌,❌,❌,O
OOO Tamozhennaya Karta,✅,❌,❌,❌,❌,❌,O
OOO Transoil,✅,❌,❌,❌,❌,✅,O
OOO Volga Group,✅,❌,❌,❌,✅,❌,O
OOO YUNIDZHET,✅,❌,❌,❌,❌,❌,O
"Open Joint Stock Company ""Kontsern Izhmash""",✅,❌,❌,❌,❌,❌,O
OPEN JOINT STOCK COMPANY BPS-SBERBANK,✅,❌,❌,❌,❌,❌,O
OPEN JOINT STOCK COMPANY CHAYKA,✅,❌,❌,❌,❌,❌,O
OPEN JOINT STOCK COMPANY COMMERCIAL BANK VERKHNEVOLZHSKY,✅,❌,❌,❌,❌,❌,O
Open Joint Stock Company Krasnodar Regional Investment Bank,✅,❌,❌,❌,❌,❌,O
OPEN JOINT STOCK COMPANY RUSSIAN RAILWAYS,✅,✅,❌,✅,✅,❌,O
OPEN JOINT-STOCK COMPANY ROSNEFT OIL COMPANY,✅,❌,❌,❌,❌,❌,O
OPK Oboronprom,❌,❌,❌,✅,✅,❌,O
Oplot,✅,❌,❌,❌,✅,❌,O
Oplot Batallion,❌,✅,✅,✅,❌,✅,O
ORIENTAL REVIEW,✅,✅,❌,❌,❌,❌,O
Ostap Sheremeta,✅,❌,❌,❌,❌,❌,O
OT-2077,✅,❌,❌,❌,❌,❌,O
Otkritie Broker Group,✅,❌,❌,❌,❌,❌,O
Otkritie Capital Cyprus Limited,✅,❌,❌,❌,❌,❌,O
Otkritie Ltd Group,✅,❌,❌,❌,❌,❌,O
OTKRYTOE AKTSIONERNOE OBSHCHESTVO KALINOVSKI KHIMICHESKI ZAVOD,✅,❌,❌,❌,❌,❌,O
OTKRYTOE AKTSIONERNOE OBSHCHESTVO KONTSERN AVIATSIONNOE OBORUDOVANIE,✅,❌,❌,❌,❌,❌,O
OTKRYTOE AKTSIONERNOE OBSHCHESTVO NAUCHNO-PROIZVODSTVENNOE OBEDINENIE SPLAV,✅,❌,❌,❌,❌,❌,O
OTKRYTOE AKTSIONERNOE OBSHCHESTVO NOVOSIBIRSKOE PROIZVODSTVENNOE OBEDINENIE LUCH,✅,❌,❌,❌,❌,❌,O
OTKRYTOE AKTSIONERNOE OBSHCHESTVO NOVO-VYATKA,✅,❌,❌,❌,❌,❌,O
OTKRYTOE AKTSIONERNOE OBSHCHESTVO NOVOVYATSKI MEKHANICHESKI ZAVOD,✅,❌,❌,❌,❌,❌,O
OTKRYTOE AKTSIONERNOE OBSHCHESTVO RT-STANKOINSTRUMENT,✅,❌,❌,❌,❌,❌,O
OTKRYTOE AKTSIONERNOE OBSHCHESTVO TEKHNOLOGII BEZOPASNOSTI,✅,❌,❌,❌,❌,❌,O
OTKRYTOE AKTSIONERNOE OBSHCHESTVO VNESHNEEKONOMICHESKOE OBEDINENIE STANKOIMPORT,✅,❌,❌,❌,❌,❌,O
OTKRYTOE AKTSIONERNOE OBSHCHESTVO VNESHNEEKONOMICHESKOE OBEDINENIE TEKHNOPROMEKSPORT,✅,❌,❌,❌,❌,❌,O
Otkrytye Aktivy OOO,✅,❌,❌,❌,❌,❌,O
Oy Langvik Capital LTD,✅,❌,❌,❌,❌,❌,O
P4-MIS,✅,❌,❌,❌,❌,❌,O
PAO MOSOBLBANK,✅,❌,❌,❌,❌,❌,O
PAO Rosgosstrakh Bank,✅,❌,❌,❌,❌,❌,O
PAO ZVEZDA,✅,❌,❌,❌,❌,❌,O
Paskal OOO,✅,❌,❌,❌,❌,❌,O
PASSAT,✅,❌,❌,❌,❌,❌,O
Peace to Luhansk Region,❌,✅,❌,❌,✅,❌,O
Pegas,✅,❌,❌,❌,❌,❌,O
People’s Militia of the Luhansk People’s Republic,❌,❌,❌,❌,❌,✅,O
People’s Republic of Luhansk,❌,❌,❌,❌,❌,✅,O
People’s Republic of Donetsk,❌,❌,❌,❌,❌,✅,O
People's Union,❌,✅,✅,✅,✅,❌,O
Photon Pro LLC,❌,❌,❌,✅,❌,❌,O
Photon Pro LLP,✅,✅,❌,❌,❌,❌,O
PJSC Beriev Aircraft Company,❌,❌,❌,✅,❌,❌,O
PJSC Mostotrest,✅,✅,✅,✅,✅,❌,O
PJSC Power Machines,✅,❌,❌,❌,✅,❌,O
PJSC Promsvyazbank,❌,❌,✅,❌,❌,❌,O
PJSC SOVCOMBANK,✅,✅,❌,✅,✅,✅,O
VERKHNECHONSKNEFTEGAZ,✅,❌,❌,❌,❌,❌,O
PJSC VTB BANK (KIEV),✅,❌,❌,❌,❌,❌,O
PJSC Zvezda,❌,❌,❌,✅,❌,❌,O
PO URALENERGOMONTAZH ZAO,✅,❌,❌,❌,❌,❌,O
POLYUS Research Institute of M.F. Stelmakh Joint Stock Company,❌,❌,❌,✅,✅,❌,O
PRESIDENCY OF DEFENSE INDUSTRIES,✅,❌,❌,❌,❌,❌,O
PRIVATE JOINT-STOCK COMPANY MAKO HOLDING,✅,❌,❌,❌,❌,❌,O
Private Military Company 'Wagner',✅,❌,❌,❌,❌,❌,O
Prizrak Brigade,❌,✅,✅,✅,✅,✅,O
Production Association Strela,❌,❌,❌,✅,❌,❌,O
"Profaktor, TOV",✅,❌,❌,❌,✅,❌,O
PROMINVESTBANK,✅,❌,❌,❌,❌,❌,O
Promsvyazbank,✅,✅,✅,✅,✅,✅,O
Promtech-Dubna JSC,❌,❌,❌,✅,✅,❌,O
PSB Avializing OOO,✅,❌,❌,❌,❌,❌,O
PSB Biznes OOO,✅,❌,❌,❌,❌,❌,O
PSB Innovations and Investments Limited Liability Company,✅,❌,❌,❌,❌,❌,O
PSB Lizing OOO,✅,❌,❌,❌,❌,❌,O
PSB-Foreks OOO,✅,❌,❌,❌,❌,❌,O
PSKOVNEFTEPRODUKT OOO,✅,❌,❌,❌,❌,❌,O
"Public Joint Stock Company ""Russian National Commercial Bank""",✅,✅,✅,✅,✅,✅,O
"Public Joint Stock Company ""United Aircraft Corporation""",❌,✅,❌,❌,❌,❌,O
"Public Joint Stock Company ""United Shipbuilding Corporation""",✅,✅,❌,✅,✅,❌,O
PUBLIC JOINT STOCK COMPANY ALROSA,✅,❌,❌,❌,❌,❌,O
Public Joint Stock Company Arzamasskoe Nauchno Proizvodstvennoe Predpriyatie Temp-Avia,✅,❌,❌,❌,❌,❌,O
PUBLIC JOINT STOCK COMPANY GAZPROM NEFT,✅,❌,❌,❌,❌,❌,O
PUBLIC JOINT STOCK COMPANY GAZPROM,✅,❌,❌,❌,❌,❌,O
Public Joint Stock Company Insurance Company Rosgosstrakh,✅,❌,❌,❌,❌,❌,O
PUBLIC JOINT STOCK COMPANY KB VOSTOCHNY,✅,❌,❌,❌,❌,❌,O
Public Joint Stock Company Promsvyazbank,❌,✅,❌,❌,❌,❌,O
PUBLIC JOINT STOCK COMPANY ROSTELECOM,✅,❌,❌,❌,❌,❌,O
PUBLIC JOINT STOCK COMPANY RUSHYDRO,✅,❌,❌,❌,❌,❌,O
PUBLIC JOINT STOCK COMPANY SBERBANK OF RUSSIA,✅,❌,❌,❌,❌,❌,O
PUBLIC JOINT STOCK COMPANY TRANSNEFT,✅,❌,❌,❌,❌,❌,O
Public Joint Stock Company United Aircraft Corporation,❌,❌,❌,✅,❌,❌,O
PUBLIC JOINT-STOCK COMPANY ODK-KUZNETSOV,✅,❌,❌,❌,❌,❌,O
PUBLIC JOINT-STOCK COMPANY ODK-UFIMSKOYE MOTOROSTROITELNOYE PRODUCTION ASSOCIATION,✅,❌,❌,❌,❌,❌,O
"Public movement ""Donetsk Republic""",❌,❌,❌,✅,❌,❌,O
Public movement ‘Free Donbass’,❌,❌,✅,✅,❌,❌,O
Public Movement ‘Novorossiya’,❌,❌,❌,❌,❌,✅,O
Public movement ‘Peace to Luhansk Region’,❌,❌,✅,✅,❌,❌,O
Public movement “Donetsk Republic”,❌,❌,✅,❌,❌,❌,O
Public Movement “Novorossiya”,❌,❌,❌,❌,✅,❌,O
R. Ye. Alekseyev Central Design Bureau for Hydrofoil Ships,❌,❌,❌,✅,❌,❌,O
RA-02791,✅,❌,❌,❌,❌,❌,O
Radioavtomatika,✅,✅,❌,✅,❌,❌,O
Radio-Electronic Technologies,❌,❌,❌,❌,✅,❌,O
Radiotechnical and Information Systems Concern,❌,❌,❌,✅,✅,❌,O
Raduga State Machine Building Design Bureau Joint Stock Company,✅,❌,❌,❌,❌,❌,O
Rapart Services LLC,❌,❌,❌,❌,✅,❌,O
"RASSVET, OAO",✅,❌,❌,❌,❌,❌,O
RENOVA GROUP,✅,❌,❌,❌,❌,❌,O
Research Center Module,❌,❌,❌,✅,❌,❌,O
Resort ‘Nizhnyaya Oreanda’,✅,❌,✅,❌,✅,✅,O
Rhythm Of Eurasia,✅,❌,❌,❌,❌,❌,O
"RIELTSITI, OOO",✅,❌,❌,❌,❌,❌,O
RIVIERA SUNRISE RESORT & SPA,✅,❌,❌,❌,❌,❌,O
RN AERO,❌,❌,✅,❌,❌,❌,O
RN-KOMSOMOLSKY REFINERY LLC,✅,❌,❌,❌,❌,❌,O
RN-YUGANSKNEFTEGAZ LLC,✅,❌,❌,❌,❌,❌,O
Robin Trade Limited,❌,❌,❌,✅,❌,❌,O
Rocket and Space Centre – Progress JSC,❌,❌,❌,❌,✅,❌,O
ROSE GROUP LIMITED,✅,❌,❌,❌,❌,❌,O
Rosneft,❌,❌,❌,✅,✅,❌,O
ROSNEFT AERO,❌,✅,❌,✅,❌,❌,O
ROSNEFT FINANCE S.A.,✅,❌,❌,❌,❌,❌,O
ROSNEFT TRADE LIMITED,✅,❌,❌,❌,❌,❌,O
ROSNEFT TRADING S.A.,✅,❌,❌,❌,❌,❌,O
Rosoboronexport,✅,❌,❌,❌,❌,✅,O
Rosoboronexport JSC,❌,❌,❌,❌,✅,❌,O
Rosoboronexport OJSC,❌,❌,❌,✅,❌,❌,O
Rosselkhozbank,❌,❌,❌,✅,❌,✅,O
ROSSISKAYA ELEKTRONIKA OAO,✅,❌,❌,❌,❌,❌,O
ROSSIYA SEGODNYA,❌,✅,❌,❌,❌,❌,O
Rostec,✅,❌,❌,✅,✅,✅,O
Rostekh – Azimuth,❌,❌,❌,✅,✅,❌,O
Rostelecom,❌,❌,❌,❌,✅,❌,O
ROSTOV HELICOPTER PRODUCTION COMPLEX,✅,❌,❌,❌,❌,❌,O
ROSTOV HELICOPTER PRODUCTION COMPLEX,✅,❌,❌,❌,❌,❌,O
RT - GLOBALNYE RESURSY OOO,✅,❌,❌,❌,❌,❌,O
RT-METALLURGIYA OAO,✅,❌,❌,❌,❌,❌,O
Rubin Sever Design Bureau,❌,❌,❌,✅,❌,❌,O
"Ruselectronics, JSC",❌,❌,❌,❌,✅,❌,O
RusHydro,❌,✅,❌,❌,✅,❌,O
RUSKONSALT,✅,❌,❌,❌,❌,❌,O
Russian Agency for Export Credit and Investment Insurance OJSC,✅,❌,❌,❌,❌,❌,O
Russian Agricultural Bank,❌,✅,❌,❌,✅,❌,O
"Russian community ""Sobol""",❌,❌,✅,✅,❌,❌,O
Russian Direct Investment Fund,✅,✅,❌,❌,✅,✅,O
RUSSIAN DIRECT INVESTMENT FUND MANAGEMENT COMPANY,✅,❌,❌,❌,❌,❌,O
Russian Helicopters JSC,❌,❌,❌,✅,✅,❌,O
Russian Machines,✅,❌,❌,❌,❌,❌,O
Russian Maritime Register of Shipping,❌,❌,❌,✅,❌,❌,O
Russian Space Systems,❌,❌,❌,✅,❌,❌,O
Russian Venture Company,❌,✅,❌,❌,❌,❌,O
RUST CLOSED JOINT-STOCK COMPANY,✅,❌,❌,❌,❌,❌,O
RVC Management Company,❌,❌,❌,❌,❌,✅,O
Rybinsk Shipyard Engineering,❌,❌,❌,✅,❌,❌,O
Saint-Petersburg International Banking Conference LLC,✅,❌,❌,❌,❌,❌,O
