Sanctioned Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Japan,Type,Sanctions Lists,Notes,
Alexandra Viktorovna Gaus,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexandra Yurevna Buriko,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Alexei Aleksandrovich Kostrubitskiy,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexei Kanayev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexei Lavrinenko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexei Leonidovich Teksler,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Alexei Maratovich Orlov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexei Nikolaevich Sheshenya,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexei Petrovich Mayorov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexei Vladimirovich Sinitsyn,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexei Weitz,❌,❌,❌,✅,❌,❌,❌,Individual,,,
Alexey Aleksandrovich Kupriyanov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexey Aleksandrovich Mordashov,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Alexey Aleksandrovich Zhuravlyev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexey Alexeyevich Gromov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexey Anatolievich Volotskov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexey Anatolyevich Subbotin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexey Borisovich Miller,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Alexey Gennadievich Nechaev,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Alexey Gennadyevich Dyumin,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Alexey Ivanovich Isaykin,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Alexey Korniyenko,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexey Likhachev,❌,❌,❌,❌,❌,✅,❌,Individual,,,
Alexey Lvovich Nikolov,❌,✅,❌,❌,✅,✅,❌,Individual,,,
Alexey Mikhailovich Kuzmenkov,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Alexey Nikolaevich Tkachev,✅,❌,❌,❌,❌,❌,✅,Individual,,,
Alexey Sergeevich Dorofeev,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alexey Stepanovich Bezzubikov,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Alexey Valerevich Minin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexey Valeryevich Panferov,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Alexey Vasilievich Chepa,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Alexey Vasilievich Gordeev,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Alexey Veller,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexey Viktorovich Kuzmichev,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Alexey Yevgenevich Filatov,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Alexey Yurevich Avdeev,❌,✅,✅,✅,❌,✅,✅,Individual,,,
Alexey Yurevich Milchakov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexey Yurevich Simanovskiy,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexsong Pte Ltd,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aleyona Anatolyevna Chuguleva,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Alfa Bank,✅,✅,❌,✅,✅,✅,✅,Entity,,,
Alfa Capital Markets LTD,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Alfa Nero,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Alfa-Direct ,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Alfa-Lizing OOO ,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Alfia Gumarovna Kogogina,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Aliaksandr Piatrovich Vetsianevich,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Aliaksandr Yauhenavich Shatrou,❌,❌,❌,❌,❌,✅,❌,Individual,,,
Aliaksei Ivanavich Rymasheuski,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Alimbek Sultanovich Delimkhanov,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Alina Maratovna Kabaeva,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alisher Burhanovich Usmanov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aljona Igorevna Arschinova,✅,❌,✅,✅,❌,✅,✅,Individual,,,
Alkes Treid OOO,✅,❌,❌,❌,❌,❌,❌,Entity,,,
All-Russia Young Army Military Patriotic Social  Movement,❌,❌,✅,✅,❌,❌,❌,Entity,,,
All-Russian Public Organization Society for the Promotion of Russian Historical Development Tsargrad,✅,✅,❌,❌,❌,❌,❌,Entity,,,
All-Russian Research Institute of Optical and Physical Measurements,❌,❌,❌,✅,❌,❌,❌,Entity,,,
All-Russian Scientific-Research Institute Etalon JSC,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Alla Arkadyevna Podtynnaya,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alla Ivanovna Obolenskaya,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alla Leonidovna Salaeva,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alla Nikolayevna Pashkunova,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Alla Viktorovna Barkhatnova,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Alla Viktorovna Polyakova,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Almaz Central Marine Design Bureau Joint Stock Company,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Almaz JSC,✅,✅,✅,✅,✅,❌,❌,Entity,,,
Almaz-Antey,❌,❌,❌,✅,✅,✅,❌,Entity,,,
Almaz-Antey,✅,❌,❌,✅,❌,❌,❌,Entity,,,
Alrosa,✅,✅,❌,❌,✅,✅,❌,Entity,,,
Altitude X3 LTD,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Ambal,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aminat Akhmadova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Amir Mahsudovich Khamitov,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Amkhad Sultanovich Delimkhanov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Amsterdam trade bank NV,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Amur Shipbuilding Factory PJSC,✅,❌,❌,✅,✅,❌,❌,Entity,,,
Analiticheski Tsentr Katekhon Ooo,✅,✅,❌,❌,❌,✅,❌,Entity,,,
Anastasia Eduardovna Belyanina,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Anastasia Gennadyevna Zhukova,✅,✅,✅,✅,✅,❌,❌,Individual,,,
Anastasia Ignatova,✅,✅,✅,✅,✅,❌,✅,Individual,,,
Anastasia Yurievna Selivanova,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Anastasiia,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Anastasiya Mykolayivna Kapranova,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Anastasiya Sergeyevna Kirillova,✅,✅,❌,❌,❌,✅,❌,Individual,,,
Anastasiya Viktorovna Kuznetsova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Anatoli Aksakov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anatoli Andreevich Antonov,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Anatoli Vyborny,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anatolii Aleksandrovich Shipitsyn,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Anatolii Anatolyevich Gavrilenko,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Anatolii Yuryevich Pechatnikov,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Anatoliy Alekseevich Sidorov,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Anatoliy Anatolievich Bulavko,❌,✅,✅,✅,❌,✅,❌,Individual,,,
Anatoliy Anatolievich Seryshev,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Anatoliy Fodorovich Lesun,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anatoliy Leonidovich Popov,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Anatoliy Sergeyevich Kovalev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Anatoliy Vladimirovich Chepiga,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Anatoliy Voronovskiy,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anatoly Aleksandrovich Wasserman,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anatoly Alexandrovich Braverman,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Anatoly Dmitrievich Artamonov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Anatoly Eduardovich Serdyukov,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Anatoly Ivanovich Antonov,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Anatoly Ivanovich Lisitsyn,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anatoly Ivanovich Shirokov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Anatoly Mikhailovich Karachinskiy,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Anatoly Nesterenko,❌,❌,❌,❌,❌,❌,✅,Individual,,,
Anatoly Nikolaevich Greshnevikov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Anatoly Pavlovich Koval,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Anatoly Vladimirovich Bondarchuk,❌,✅,✅,✅,❌,❌,✅,Individual,,,
Anatoly Yevgenyevich Karpov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anatoly Zhamalovich Bifov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrei Akardyevich Klimov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrei Aleksandrovich Klishas,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrei Alexandrovich Krechetov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrei Alexandrovich Strizhov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrei Alexandrovich Travnikov,❌,✅,❌,❌,✅,❌,✅,Individual,,,
Andrei Anatolyevich Gubarev,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Andrei Anatolyevich Shevchenko,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrei Boevich Kurbanov,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Andrei Burdyko,❌,✅,✅,✅,❌,✅,❌,Individual,,,
Andrei Dmitrievich Kozenko,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrei Evgenevich Purgin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrei Fiodorovich Sopelnik,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Andrei Gennadievich Chertkov,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Andrei Issajev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrei Ivanovich Bocharov,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Andrei Konstantinovich Nekrashevich,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Andrei Kozitsyn,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Andrei Kuznetsov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrei Leonidovich Kostin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrei Lukyanovich,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Andrei Melnikov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrei Mikhaylovich Tambovtsev,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Andrei Nikolaevich Ermishko,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Andrei Nikolaevich Rodkin,✅,✅,✅,✅,✅,✅,❌,Individual,,, 
Andrei Nikolaevich Shishkin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrei Nikolayevich Yepishin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrei Olegovich Shipitsin,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Andrei Olgertovich Volozhinsky,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Andrei Pavlov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrei Removich Belousov,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Andrei Sergeevich Mandel,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrei Sergeyevich Ivanayev,❌,✅,❌,❌,✅,✅,❌,Individual,,,
Andrei Trofimov,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Andrei Valeryevich Gasilov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrei Veniaminovich Yarin,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Andrei Viktorovich Litsoev,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Andrei Vladimirovich Khokhlov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrei Vladimirovich Shevchik,❌,❌,✅,✅,❌,✅,❌,Individual,,,
Andrei Vladimirovich Skoch,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrei Yurievich Lipov,❌,❌,✅,✅,✅,✅,❌,Individual,,,
Andrei Yuryevich Vorobyov,✅,✅,❌,❌,❌,❌,✅,Individual,,,
Andrej Valerijevitj Rjumin,❌,❌,✅,❌,❌,❌,❌,Individual,,,
Andrey Aleksandrovich Borisov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Andrey Aleksandrovich Fursenko,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Andrey Aleksandrovich Polyakov,❌,✅,❌,❌,✅,✅,❌,Individual,,,
Andrey Aleksandrovich Zhidkov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Andrey Alexandrovich Bazilevsky,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrey Alshevskih,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrey Anatolievich Anikeev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrey Anatolyevich Alekhin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrey Anatolyevich Turchak,✅,✅,✅,✅,✅,❌,❌,Individual,,,
Andrey Andreevich Guryev,✅,✅,✅,✅,✅,❌,❌,Individual,,,
Andrey Bobrovskiy,❌,❌,❌,✅,❌,❌,❌,Individual,,,
Andrey Bobrowskiy,❌,❌,✅,❌,❌,❌,❌,Individual,,,
Andrey Bokarev,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Andrey Borisovich Shein,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrey Bulyutin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrey Doroshenko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrey Fedorovich Golikov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrey Fedorovich Trifonov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrey Gennadievich Vasyuta,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Andrey Georgiyevich Zakharov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrey Gorokhov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrey Grigoryevich Areshev,✅,✅,❌,❌,❌,✅,❌,Individual,,,
Andrey Grigoryevich Guryev,✅,✅,❌,❌,❌,✅,❌,Individual,,,
Andrey Gurulev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrey I. Pechegin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrey Igorevich Akimov,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Andrey Igorevich Melnichenko,✅,✅,✅,✅,❌,✅,❌,Individual,,,
Andrey Igoryevich Kislov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrey Ivanovich Grigoryev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrey Ivanovich Kolesnik,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrey Ivanovich Sychevoy,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Andrey Konstantinovich Lugovoy,✅,❌,✅,✅,✅,✅,✅,Individual,,,
Andrey Kovalenko,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Andrey Leonidovich Krasov,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Andrey Markov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrey Mikhailovich Makarov,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Andrey Nikolaevich Dolgopolov,✅,❌,✅,✅,✅,❌,❌,Individual,,,
Andrey Nikolaevich Ivanov,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Andrey Nikolaevich Patrushev,✅,✅,❌,❌,✅,✅,✅,Individual,,,
Andrey Nikolayevich Serdyukov,❌,✅,❌,❌,✅,✅,❌,Individual,,,
Andrey Petrovich Gimbatov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrey Sergeevich Voroshilov,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Andrey Sergeyevich Puchkov,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Andrey Valerevich Miroshnichenko,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Andrey Valerievich Ryumin,❌,✅,❌,✅,✅,✅,❌,Individual,,,
Andrey Valeriyevich Kartapolov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Andrey Vasilievich Baevsky,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Andrey Vasilyevich Lavrishchev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrey Vasilyevich Ryumshin,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Andrey Viktorovich Kutepov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrey Viktorovich Vorobev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrey Vitalyevich Ilyashenko,✅,✅,❌,❌,✅,✅,✅,Individual,,,
Andrey Vladimirovich Cherezov,✅,✅,✅,✅,✅,❌,❌,Individual,,,
Andrey Vladimirovich Chernyshev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrey Vladimirovich Sharonov,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Andrey Vladimirovich Vyatkin,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Andrey Vladimirovich Yatskin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrey Vyacheslavovich Yudin,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Andrey Yurevich Pinchuk,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Andrey Yurievich Lustenko,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Andrey Yurievich Sapelin,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Andrey Zhuk,❌,✅,✅,✅,❌,✅,❌,Individual,,,
Andrii Leonidovych Derkach,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrii Telizhenko,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Andrij Mykolayovych Eremenko,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Andriy Leonidovich Siguta,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Andriy Petrovych Klyuyev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Angara,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Anna Ivanovna Otke,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Anna Mikhaylovna Mosina,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Anna Sergeevna Ershova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Anna Tsiveleva,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Anna Vladimirovna Anyukhina,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Anna Yakovlena Zatsepilina,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Anna Yurievna Todorova,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anna Yuryevna Kuznetsova,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Anninskii Elevator OOO,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Antares OOO,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Anti-Globalization Movement of Russia,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Anton Aleksandrovich Basansky,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anton Aleksandrovich Getta,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anton Alekseevich Krugovov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Anton Alekseyevich Krasnoshtanov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anton Eduardovich Vaino,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Anton Germanovich Siluanov,✅,❌,❌,❌,✅,✅,❌,Individual,,,
Anton Gorelkin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anton Igorevich Nemkin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Anton Olegovich Tkachev,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Anton Oleksandrovych Simonenko,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Anton Robertovich Tytskiy,✅,✅,✅,✅,✅,❌,❌,Individual,,,
Anton Sergeevich Anisimov,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Anton Sergeevich Urusov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Anton Sergeyevich Bespalov,✅,✅,❌,❌,❌,✅,❌,Individual,,,
Anton Valerevich Kuprin,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Anton Viktorovich Kolstov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Anton Viktorovich Koltsov,✅,✅,✅,✅,❌,✅,❌,Individual,,,
Anton Vladimirovich Shipulin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Anton Vyacheslavovich Krasovsky,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Anzhelika Alekseevna Dobros,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Anzhelika Khan,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Anzhelika Yegorovna Glazkova,✅,✅,✅,✅,✅,✅,✅,Individual,,,
"AO ""Institute Giprostroymost — Saint-Petersburg""",✅,✅,✅,✅,✅,❌,❌,Entity,,,
AO ABR Management,✅,❌,❌,❌,❌,❌,❌,Entity,,,
AO Center of Shipbuilding and Ship Repairing JSC,❌,❌,❌,✅,❌,❌,❌,Entity,,,
AO Kontsern Okeanpribor,✅,❌,❌,❌,❌,❌,❌,Entity,,,
AO Kronshtadt,✅,✅,✅,✅,✅,✅,❌,Entity,,,
AO NII Vektor,✅,✅,❌,❌,❌,❌,❌,Entity,,,
AO Zavod Fiolent,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Apti Kharonovich Alaudinov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aquanika,✅,❌,❌,❌,✅,✅,❌,Entity,,,
Areximbank-gazprombank Group Cjsc,✅,✅,❌,✅,✅,✅,❌,Entity,,,
Argut OOO,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Arimero Holding Limited,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Arkadii Viktorovich Bahkin,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Arkadiy Yurevich Romanov,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Arkady Nikolayevich Ponomarev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Arkady Nikolayevich Svistunov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Arkady Romanovich Rotenberg,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Arkady Viktorovich Mamontov,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Arkady Yurievich Volozh,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Armed Forces of the Russian Federation,❌,❌,❌,❌,❌,✅,❌,Entity,,,
Armen Sumbatovich Gasparyan,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Army of the Southeast,❌,✅,✅,✅,✅,✅,✅,Entity,,,
Arsen Bashirovich Kanokov,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Arsen Suleymanovich Fadzayev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Arseny Pavlov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Artem Alexandrovich Bichaev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Artem Alexandrovich Kavinov,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Artem Alexandrovich Kramarenko,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Artem Andreyevich Malyshev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Artem Gennadyevich Sheikin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Artem Kuznetsov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Artem Nikolaevich Stepanov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Artem Pavlovich Metelev,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Artem Samoylov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Artem Viktorovych Pshonka,❌,❌,❌,❌,❌,❌,❌,Individual,,,
Artem Yurievich Kiriyanov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Artem Yuryevich Kiryanov,❌,✅,✅,✅,❌,✅,✅,Individual,,,
Artemis Offshore,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Artur Aleksandrovich Dugin,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Artur Aleksandrovich Zhirov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Artur Borisovich Taymazov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Artur Nikolaevich Chilingarov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Artyom / Artem Grigoryevich Sheynin,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Artyom Prokofyev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Artyom Turov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Arzam Scientific Production Enterprise Temp Avia,✅,❌,✅,✅,✅,❌,✅,Entity,,,
Ascalon,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Askar-sarydzha,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Association for Free Research and International Cooperation,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Auction Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Auditkonsalt OOO,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Autolex Transport LTD.,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Automated Banking Technologies CJSC,✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Automated Procurement System for State Defense Orders, LLC",❌,❌,❌,✅,❌,❌,❌,Entity,,,
Autonomous Noncommercial Organization for the Study and Development of International Cooperation in the Economic Sphere International Agency of Sovereign Development,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Avanfort OOO,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Avangard    JSC,✅,✅,✅,✅,✅,❌,❌,Entity,,,
Avant Space LLC,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Avia Group LLC,✅,❌,❌,❌,✅,✅,❌,Entity,,,
Avia Group Nord LLC,✅,❌,❌,❌,✅,✅,❌,Entity,,,
Aviaavtomatika Named After V. Tarasov Jsc,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aviastar-sp Aircraft Manufacturing Enterprise,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Avlita Stevedoring Company,❌,❌,✅,✅,❌,❌,❌,Entity,,,
Axioma,✅,❌,❌,❌,❌,❌,❌,Entity,,,
